"classe","codigo","vm","gc","lc","roe","divbr_pl","ll","ll_cresc","p_vpa","pl","ret_anual"
"ON","ABEV3",297770450.913333,FALSE,0.885731451256667,16.0938000055,7.20476049315,TRUE,FALSE,6.25998301023333,34.6618327,5.4384431452523
"ON","PETR3",228251821.563333,TRUE,1.7969247543,2.173600904035,128.5491554,FALSE,TRUE,0.895759380953333,-162.123182807,4.84372571974827
"ON","VALE3",200337453.176667,TRUE,1.71295007406667,10.52079001225,45.993928007,TRUE,TRUE,1.37610533373333,13.1010512563,11.8654039392668
"ON","ITSA3",75317813.4066667,TRUE,2.07142970176667,15.849539612,8.09907071285,TRUE,FALSE,1.48499038903333,8.7331496314,10.7941111819036
"ON","VIVT3",70991047.8776667,FALSE,0.913397993116667,8.2442369575,10.66744014775,TRUE,TRUE,0.915459266453333,12.9282621043,3.60528272916572
"ON","CIEL3",55521264.7143333,TRUE,1.3619091609,27.0367884995,56.224920027,TRUE,TRUE,5.1983317806,13.8887413076667,0.837049207011087
"ON","B3SA3",40678088.13,TRUE,2.01617394696667,6.4880448143,23.684155419,TRUE,FALSE,1.77351699486667,26.49018356,18.5085183971468
"ON","BRKM3",34822965.9923333,TRUE,0.837408905893333,64.3717530755,473.086247355,FALSE,FALSE,7.26084724673333,-11.1799093075,43.9845290995141
"ON","UGPA3",33735310.7556667,TRUE,2.26808276526667,14.731584947,148.52692702,TRUE,TRUE,3.74145886523333,22.648665266,-1.63361838983678
"ON","WEGE3",33531871.059,TRUE,2.32412842023333,16.5293601015,57.18487045,TRUE,FALSE,4.9785707168,28.720558667,19.5061605415822
"ON","FIBR3",28697322.9553333,TRUE,2.02465814953333,8.4687636733,135.58082621,TRUE,FALSE,1.96548871746667,21.523583716,25.9406076562207
"ON","BRFS3",28190659.1573333,TRUE,1.28831073256667,-16.82939388505,204.179059945,FALSE,FALSE,2.57254109666667,-45.6734739247333,-17.5088331903209
"ON","SUZB3",27983601.5733333,TRUE,2.34765908003333,8.3498861512,136.30067653,FALSE,TRUE,3.1232970156,202.046813179,NA
"ON","SUZB5+SUZB3",27983601.5733333,FALSE,2.34765908003333,8.3498861512,136.30067653,FALSE,TRUE,2.5909232682,137.746446077233,40.5425024120199
"ON","JBSS3",27242656.36,TRUE,1.39292448456667,1.77711798678,220.694232205,FALSE,FALSE,1.10722075533333,29.2278489173333,5.19793458725253
"ON","ELET3",27101761.6193333,TRUE,1.09000432367,-2.63444363385,105.105449005,FALSE,FALSE,0.60072666656,-13.8682438662333,27.6051628383031
